;;minus;minus;minus;minus;plus;plus;plus;plus;minus;plus;minus;plus;plus;plus;minus;plus;plus;plus
;;almen;indkomst;Grundskyld;spend;privlend;konkud;tilskudboern;klassekvotient;perelev;dagplejeplads;ældreudgifter;udbragtmad;plejehjem;aflastning;personale;skat;boernehave;sfo
Københavns Kommune;101;19,5;23,8;34;56.716;24,1;24,1;NEJ;22,8;47.441;3.310;65.324;42;3.473,00;123;70,5;24,7;1.912;927
Frederiksberg Kommune;147;9,5;22,8;25,5;50.251;28,4;28,9;JA;22,5;43.361;3.180;47.640;51;3.461,26;132,39;58,5;22,91;1.480;1.534
Ballerup Kommune;151;55,3;25,5;28,89;68.953;24,5;24,5;NEJ;22,2;52.256;2.925;44.851;50;3.391,46;111,5;83,8;25,78;1.733;1.210
Brøndby Kommune;153;63,6;24,5;20,5;70.028;25,2;25,2;NEJ;21,2;58.785;3.157;50.812;47,5;3.452,29;133,5;83,4;23,84;1.708;1.402
Dragør Kommune;155;15,6;24,8;25,02;54.300;23,6;23,6;JA;23,9;47.731;2.632;33.691;51;3.455,00;170;66,4;24,65;1.648;1.026
Gentofte Kommune;157;4,1;22,8;16;51.342;29,1;29,1;JA;24,6;36.385;2.989;48.697;50,5;3.473,00;75,5;76,8;21,69;1.668;1.554
Gladsaxe Kommune;159;36,4;23,9;23;58.219;26,4;26,4;NEJ;23,6;53.105;3.120;45.807;50;3.424,00;113;81,4;23,63;2.095;1.445
Glostrup Kommune;161;38,6;23,7;25;64.378;26,6;26,6;NEJ;22;53.136;2.708;40.732;50;3.150,00;135;88,1;23,71;1.692;1.167
Herlev Kommune;163;58,5;23,7;24,3;63.320;31;31;NEJ;22,4;45.891;2.961;44.183;48;3.240,00;-;70,1;23,63;1.663;1.592
Albertslund Kommune;165;58,3;25,6;33,94;71.846;26,4;26,4;NEJ;23,3;55.535;3.004;44.697;49;3.473,00;22,52;83;26,41;1.966;1.498
Hvidovre Kommune;167;39;25,5;29,7;65.221;21,1;21,1;NEJ;22,6;56.501;2.848;47.401;51;3.473,00;122;74,9;25,85;1.794;955
Høje-Taastrup Kommune;169;27,2;24,7;24,6;65.321;27,9;27,9;NEJ;21,7;54.199;3.100;36.504;47,46;3.095,00;103;73,9;24,54;1.710;1.283
Lyngby-Taarbæk Kommune;173;20,7;23,7;21,985;56.345;24,7;24,7;JA;22,3;48.512;2.929;52.748;51;3.473,00;143;72,7;23,28;1.714;1.737
Rødovre Kommune;175;44,7;25,7;30,8;67.476;26,4;26,4;NEJ;22;58.241;2.735;54.680;50;3.454,00;124;81,2;26,15;1.667;1.466
Ishøj Kommune;183;48,4;25;25;71.243;26,3;26,3;NEJ;21;59.339;2.565;37.663;44;3.011,00;121;85,7;24,87;2.084;1.277
Tårnby Kommune;185;36,6;23,3;24;57.553;20,9;20,9;NEJ;22,6;51.913;2.646;41.046;44,31;3.468,00;135;72;23,24;1.593;953
Vallensbæk Kommune;187;7,4;25,1;24,38;53.333;24,6;24,6;JA;22,9;54.974;2.614;33.988;51;2.329,33;-;65;24,86;1.556;1.545
Furesø Kommune;190;28,1;24,8;21,5;57.475;27,8;27,8;NEJ;22,7;53.314;2.905;35.467;51;3.473,00;129;68,8;24,22;1.666;1.373
Allerød Kommune;201;14,7;24,3;22,8;51.804;32,7;32,7;NEJ;22,2;55.380;2.836;30.660;51;3.472,00;16;66,8;23,96;1.559;1.375
Fredensborg Kommune;210;27,3;25,3;24,65;59.073;29,1;29,1;NEJ;21,7;52.301;2.932;34.912;49;3.473,00;145;71,6;25,06;1.489;U
Helsingør Kommune;217;26,7;25,4;29;63.019;24,5;24,5;JA;22,9;52.048;U;39.679;48,5;3.390,00;143;71,9;25,73;1.691;1.238
Hillerød Kommune;219;17,2;25,6;20,65;56.647;31,3;31,3;JA;21,7;46.355;2.826;43.964;51;3.473,00;145,5;74,2;24,83;1.549;1.306
Hørsholm Kommune;223;18,2;23,2;22,1;53.886;33,7;34,7;JA;22,8;40.506;3.065;35.945;51;3.473,00;114;62,8;22,86;1.585;1.533
Rudersdal Kommune;230;16,4;22,5;22,93;54.367;26,2;26,2;JA;23,6;49.261;3.007;48.791;50,55;3.467,00;145;74;22,39;1.568;1.512
Egedal Kommune;240;12,1;25,7;23,98;52.140;29,1;29,1;JA;22,8;52.150;2.838;30.276;50;3.420,00;-;65,5;25,36;1.597;1.664
Frederikssund Kommune;250;17,3;25,4;32,5;58.672;31,3;31,3;JA;22,8;47.031;2.733;36.958;50;3.472,00;147;70,7;26,02;1.789;1.563
Halsnæs Kommune;260;16,7;25,7;34;62.538;28,4;29,6;NEJ;22,9;55.456;3.095;34.413;51;3.473,00;114,85;69,6;26,5;1.805;1.195
Gribskov Kommune;270;7,9;24,7;29,34;57.745;44,2;50,4;JA;21,4;43.752;2.795;31.923;35;3.285,00;38;47,8;25,32;1.640;1.707
Bornholms Kommune;400;10,7;26,2;33,41;64.633;25,5;25,7;NEJ;21,8;40.303;2.152;44.464;47;3.473,00;141;79,6;26,57;1.625;1.305
Greve Kommune;253;27,9;23,9;16,944;53.496;33,6;33,6;NEJ;22,1;47.422;2.853;29.471;51;3.473,00;22;57,7;22,86;1.600;1.497
Køge Kommune;259;26,8;24,9;21,038;57.914;30,7;31;JA;22,2;49.105;2.680;36.200;49,5;3.235,50;113;68;24,39;1.660;1.327
Roskilde Kommune;265;21,4;25,2;24,31;56.882;25,2;25,3;JA;21,3;54.221;2.989;39.725;51;3.472,00;132,5;73,4;24,96;1.592;1.356
Solrød Kommune;269;15,1;24,6;21,17;51.734;33,6;33,6;NEJ;22,9;45.317;2.738;32.772;47;M;138;55,2;23,94;1.537;1.672
Odsherred Kommune;306;10,1;26,6;34;63.714;33,7;33,7;NEJ;20,4;49.521;2.668;36.193;44,8;3.425,00;138;68,9;27,53;1.870;1.558
Holbæk Kommune;316;20,3;25,1;23,65;57.801;32,6;32,8;NEJ;22,7;41.243;2.779;39.440;38,75;3.330,63;109,5;66,9;24,9;1.679;1.732
Faxe Kommune;320;12,2;26,1;25;55.656;26,3;26,3;NEJ;22,3;42.919;2.785;34.491;43,9;3.473,00;-;68,2;25,92;1.659;1.398
Kalundborg Kommune;326;15;25;34;61.102;26,7;27,3;JA;19,4;42.068;2.172;34.694;46,71;3.050,00;133;69;25,61;1.814;1.553
Ringsted Kommune;329;18,9;26,7;24,74;58.487;32,6;32,6;JA;22,3;42.341;2.554;38.223;43,25;3.472,00;19,5;72,6;26,44;1.624;1.462
Slagelse Kommune;330;24,3;24,7;25,3;61.871;29,8;29,8;JA;21,9;42.345;2.454;40.742;50,1;3.398,00;112;79,2;24,66;1.417;1.357
Stevns Kommune;336;5,9;25;21,52;54.186;31,1;31,1;NEJ;22,4;39.524;2.845;29.036;41;3.472,55;145;60,6;24,54;1.647;1.609
Sorø Kommune;340;14,3;26,4;25,74;57.253;27,4;27,6;JA;22,1;37.910;2.206;35.315;44,05;3.254,28;106,99;72;26,26;1.434;1.443
Lejre Kommune;350;6,6;25,2;28,23;52.586;25,7;25,7;JA;20,9;41.244;2.744;33.035;45,5;2.500,00;131;66,4;25,37;1.616;1.265
Lolland Kommune;360;14;27;33,09;75.290;27;27;NEJ;21,2;45.467;2.374;40.749;51;3.473,00;147;81,7;27,2;1.689;1.417
Næstved Kommune;370;15,3;25;25;55.304;27,4;27,4;NEJ;22,3;45.506;2.427;31.476;50;3.473,00;114;70,6;24,9;1.486;1.595
Guldborgsund Kommune;376;13,4;26,3;32,34;62.654;28,8;28,8;NEJ;21,6;46.843;2.587;34.639;51;3.473,00;132;73,5;26,6;1.493;1.436
Vordingborg Kommune;390;14,2;25,2;32,32;59.906;30,6;30,6;NEJ;21,8;39.644;2.771;36.389;49,61;3.473,00;114,29;74,6;25,64;1.553;651
Middelfart Kommune;410;12,5;25,8;21,29;54.374;28,1;28,1;JA;20,7;44.099;2.390;33.455;49,85;3.435,00;133;72,8;25,37;1.715;1.501
Assens Kommune;420;8,6;26,1;22,12;59.980;27;27;JA;20,6;46.172;2.436;37.882;50;3.467,00;140;69,3;25,77;1.652;1.488
Faaborg-Midtfyn Kommune;430;9,9;26,1;22,85;59.199;26,8;26,8;JA;20,6;43.135;2.409;37.429;47;3.473,00;144;68,1;25,8;1.618;1.223
Kerteminde Kommune;440;12;26,2;30,3;60.403;23,2;23,2;NEJ;21,1;54.965;2.362;33.191;50;3.425,00;130,22;76,1;26,42;1.595;1.580
Nyborg Kommune;450;16,4;26,4;27,83;59.644;22;22,1;JA;23,5;40.101;2.389;35.914;50;3.374,00;131,68;66,9;26,4;1.575;1.081
Odense Kommune;461;24,7;24,5;21,71;57.436;28,3;28,3;JA;21,6;42.666;2.343;42.280;51;3.473,00;123;66,7;24,2;1.568;1.894
Svendborg Kommune;479;15,5;26,8;23,32;60.427;24;24;JA;20,9;47.736;2.494;39.455;46;3.049,00;121,5;77,7;26,41;1.710;1.292
Nordfyns Kommune;480;8;26;29,98;58.984;26,1;26,1;JA;19,7;47.407;2.026;35.303;38,81;3.414,00;112,24;69;26,18;1.632;1.494
Langeland Kommune;482;6,6;27,8;24,57;69.702;22,4;22,4;NEJ;20,3;67.456;2.386;43.340;46;3.467,00;132;96,1;27,33;1.906;2.039
Ærø Kommune;492;9,1;26,1;30;64.239;17,6;17,6;NEJ;20,4;52.745;2.520;43.096;42,5;3.425,50;110,5;89,8;26,26;1.847;945
